payment_id,order_id,payment_method,payment_date,amount
101,66644,Debit Card,2024-06-27,3869.01
102,42924,UPI,2024-01-16,4331.21
103,30598,Credit Card,2024-06-23,1536.87
104,74639,Debit Card,2024-02-28,2288.17
105,88841,Credit Card,2024-02-13,3350.27
106,87421,Cash,2024-05-11,1584.99
107,2059,UPI,2025-05-19,244.14
108,62260,Debit Card,2024-08-04,1921.2
109,62975,UPI,2024-11-09,3702.33
110,17593,Bank Transfer,2024-07-15,2084.52
111,75504,Bank Transfer,2025-08-26,67.63
112,3200,Bank Transfer,2024-10-28,4501.07
113,56384,Credit Card,2024-04-05,2115.12
114,65924,Cash,2025-01-28,764.6
115,55463,Bank Transfer,2024-09-23,224.38
116,12653,Credit Card,2025-08-12,4230.55
117,67712,UPI,2024-02-28,4988.33
118,16309,Debit Card,2024-08-20,4297.47
119,94032,UPI,2024-11-11,427.17
120,7227,Debit Card,2024-09-01,1265.43
121,99921,Bank Transfer,2023-10-26,4051.99
122,7786,Cash,2024-09-19,4501.92
123,34398,Credit Card,2023-11-14,1677.06
124,68823,Bank Transfer,2023-11-23,3844.04
125,37820,Cash,2024-10-10,348.83
126,8587,Cash,2023-11-29,2266.62
127,57161,UPI,2024-06-29,3770.49
128,11318,Credit Card,2024-05-08,1583.2
129,2039,Debit Card,2025-01-23,4525.55
130,56663,Bank Transfer,2023-10-13,1623.52
131,8725,Cash,2024-04-07,3229.6
132,92885,Debit Card,2024-06-27,4395.61
133,87322,Cash,2025-03-24,2790.22
134,31591,Debit Card,2024-03-12,3380.11
135,84501,Bank Transfer,2024-11-05,4579.58
136,72683,Cash,2025-01-23,1414.42
137,97929,Cash,2023-09-14,4653.39
138,15492,Cash,2025-02-20,4640.8
139,95737,Debit Card,2025-04-04,884.01
140,75855,Debit Card,2024-10-03,3226.88
141,10652,Cash,2024-04-25,2389.61
142,59524,UPI,2025-03-09,2956.83
143,10987,Debit Card,2024-04-10,917.28
144,35277,Bank Transfer,2025-04-06,4363.66
145,455,Cash,2024-03-15,1558.36
146,45382,Cash,2023-12-16,1789.94
147,58235,Cash,2025-06-18,2077.84
148,99311,Bank Transfer,2025-04-09,4576.35
149,8865,Debit Card,2024-12-11,3190.76
150,60955,Cash,2024-08-17,2535.02
151,18394,Bank Transfer,2024-10-23,4397.79
152,30784,Bank Transfer,2023-09-26,3930.15
153,27313,Debit Card,2024-07-08,2189.86
154,87184,Debit Card,2025-03-15,2041.1
155,45794,UPI,2025-08-05,2839.68
156,79001,Bank Transfer,2023-11-09,292.41
157,47808,Credit Card,2024-02-16,1245.23
158,41720,Debit Card,2025-05-23,2076.58
159,24515,UPI,2025-08-02,3224.09
160,20580,Bank Transfer,2024-11-03,4893.94
161,24556,Cash,2025-02-14,996.13
162,75831,Debit Card,2024-08-14,3785.37
163,68106,UPI,2023-10-06,1320.68
164,63708,Credit Card,2025-07-28,493.06
165,54208,Bank Transfer,2025-03-14,4527.48
166,12341,Bank Transfer,2025-04-11,1149.74
167,51215,Bank Transfer,2024-01-09,4244.02
168,78386,Credit Card,2025-05-01,3668.8
169,63874,Cash,2024-08-10,2499.46
170,5419,UPI,2025-03-03,1217.8
171,98158,Cash,2024-04-02,114.7
172,20545,Bank Transfer,2025-02-19,4035.74
173,74254,UPI,2024-12-12,796.28
174,2678,Cash,2025-02-27,1465.92
175,49353,Cash,2024-02-21,2359.48
176,14289,Bank Transfer,2025-01-16,2549.99
177,22860,Debit Card,2025-03-28,399.37
178,99387,Bank Transfer,2023-12-11,1296.49
179,20497,Cash,2024-01-01,57.44
180,82744,UPI,2024-06-29,3386.8
181,79793,UPI,2023-09-17,2916.16
182,51131,Cash,2025-04-15,3819.67
183,75321,Credit Card,2024-10-19,4132.05
184,71789,Debit Card,2023-11-19,1133.49
185,47622,Bank Transfer,2024-05-25,4299.23
186,48309,Cash,2025-03-10,2155.48
187,44239,Credit Card,2025-05-25,2690.57
188,2018,Bank Transfer,2024-12-24,2867.91
189,45333,UPI,2023-09-27,4030.79
190,81515,Bank Transfer,2024-02-22,1455.58
191,68505,Bank Transfer,2024-01-23,3799.42
192,64550,Debit Card,2025-06-03,1448.09
193,29367,Bank Transfer,2025-06-24,3557.18
194,55598,Debit Card,2025-01-18,4756.29
195,5516,Credit Card,2024-12-14,1099.45
196,1214,Bank Transfer,2025-04-09,1261.75
197,44039,Bank Transfer,2024-07-16,1905.84
198,46918,Credit Card,2024-04-29,1548.72
199,63757,Bank Transfer,2025-02-21,1836.49
200,87629,UPI,2025-07-29,4644.26
201,97790,Debit Card,2024-06-21,2526.37
202,90805,UPI,2025-03-04,3702.85
203,25711,Credit Card,2024-04-05,3221.87
204,30611,UPI,2024-05-11,880.0
205,80936,UPI,2024-10-26,4593.05
206,33708,UPI,2024-06-25,1346.78
207,45341,Credit Card,2025-01-25,1716.32
208,5389,UPI,2024-10-10,4338.27
209,6661,Credit Card,2025-08-29,1556.08
210,69597,Credit Card,2024-08-16,4456.5
211,23629,Credit Card,2025-01-24,3422.47
212,40628,Credit Card,2023-10-06,2472.66
213,99857,UPI,2023-09-14,1181.7
214,73870,Bank Transfer,2023-10-19,2789.54
215,1522,Cash,2025-07-12,1380.3
216,49774,Credit Card,2024-01-24,2124.88
217,4436,Credit Card,2024-05-09,201.73
218,54500,Debit Card,2024-01-17,2093.29
219,99679,Credit Card,2024-04-08,2396.5
220,71316,Bank Transfer,2025-06-12,1755.71
221,38844,Debit Card,2024-01-30,1857.29
222,92341,Credit Card,2025-02-12,1388.77
223,8657,Cash,2023-11-03,2866.47
224,35341,UPI,2023-11-04,2632.74
225,86084,Cash,2024-05-18,827.79
226,76355,Cash,2024-05-18,1801.6
227,3504,UPI,2024-08-07,480.16
228,44153,Debit Card,2024-09-09,4711.82
229,84191,Bank Transfer,2024-11-19,2484.21
230,97400,Bank Transfer,2025-06-18,2266.98
231,9237,UPI,2023-10-11,2882.28
232,27188,Bank Transfer,2025-05-05,3042.69
233,87851,Cash,2023-12-15,760.52
234,47948,Cash,2024-12-21,2389.78
235,65219,Bank Transfer,2025-08-31,3680.4
236,55587,Cash,2024-02-23,2877.13
237,33547,Bank Transfer,2025-04-20,1300.87
238,12809,Cash,2025-08-04,216.89
239,18528,Debit Card,2023-11-25,320.1
240,28942,Cash,2024-12-02,1489.8
241,26257,Bank Transfer,2024-02-14,4940.02
242,99160,Bank Transfer,2024-05-26,1779.99
243,92223,Bank Transfer,2025-05-10,3119.77
244,57343,Bank Transfer,2023-10-23,1865.87
245,66662,Bank Transfer,2024-11-16,2617.41
246,92045,Debit Card,2024-11-24,357.71
247,1229,Bank Transfer,2025-05-24,120.06
248,15562,UPI,2025-04-01,982.65
249,16938,Credit Card,2024-03-15,292.58
250,58763,Credit Card,2024-03-18,503.86
251,92980,Credit Card,2024-05-29,3235.17
252,27181,Debit Card,2024-04-23,1377.21
253,34665,Debit Card,2025-05-12,3578.17
254,929,UPI,2025-02-26,3680.15
255,12407,UPI,2024-02-15,1683.35
256,21712,Credit Card,2025-02-08,4582.87
257,39308,Cash,2024-05-30,1831.89
258,26778,Bank Transfer,2024-01-12,834.82
259,53910,Debit Card,2025-01-06,1840.61
260,93065,Cash,2024-05-17,2409.52
261,99672,Debit Card,2025-02-07,3832.26
262,22213,Cash,2025-03-28,3695.01
263,67096,Debit Card,2024-04-14,633.71
264,88490,Debit Card,2023-10-05,1330.5
265,4594,Credit Card,2023-11-04,3905.84
266,92421,Cash,2024-06-14,4381.1
267,91248,Cash,2025-01-17,1228.83
268,14724,Credit Card,2024-07-13,2202.99
269,11013,Credit Card,2023-11-28,797.88
270,42967,Debit Card,2025-05-26,1249.69
271,53312,Cash,2024-08-17,3370.33
272,33949,Credit Card,2024-02-06,2733.94
273,7700,Bank Transfer,2024-06-21,4903.75
274,74947,UPI,2023-10-17,1585.91
275,37474,UPI,2024-12-29,1637.91
276,99686,Debit Card,2024-07-29,2027.13
277,70610,Cash,2024-10-21,1570.36
278,87866,Debit Card,2024-11-04,4094.48
279,48583,UPI,2025-03-10,1976.04
280,81828,Debit Card,2023-12-08,2762.29
281,54594,Bank Transfer,2024-12-15,2145.25
282,63055,UPI,2024-04-25,379.15
283,28406,Credit Card,2024-11-02,1447.46
284,44652,Bank Transfer,2023-10-27,3776.41
285,73868,Cash,2023-11-11,2929.98
286,16384,Debit Card,2023-12-03,2120.89
287,71264,Cash,2024-12-10,2004.34
288,22966,Bank Transfer,2025-06-20,149.17
289,18517,Cash,2025-08-04,2117.53
290,32472,Cash,2024-12-02,4933.84
291,24263,UPI,2024-11-27,2474.69
292,93420,Bank Transfer,2023-12-05,1992.07
293,78950,Cash,2025-05-18,127.74
294,19513,Bank Transfer,2024-01-11,2313.22
295,10043,Credit Card,2024-08-03,1289.99
296,25657,UPI,2025-02-24,4769.33
297,11858,Credit Card,2025-08-17,3895.98
298,63515,Cash,2024-04-10,3694.55
299,5320,Debit Card,2024-01-10,2709.94
300,57363,Cash,2023-11-01,908.21
301,79666,Bank Transfer,2024-03-08,916.17
302,73758,Bank Transfer,2024-10-31,719.75
303,22535,UPI,2024-11-12,90.24
304,78223,Credit Card,2024-11-25,4653.21
305,12099,Cash,2024-09-30,940.01
306,56014,UPI,2024-06-17,1642.33
307,45866,UPI,2024-08-18,3131.21
308,6241,Bank Transfer,2025-01-13,737.27
309,94509,UPI,2025-06-02,2639.67
310,81737,Debit Card,2024-04-13,253.57
311,79480,Debit Card,2024-06-17,3888.92
312,77063,Debit Card,2023-11-18,2224.58
313,52247,Bank Transfer,2024-11-20,3870.87
314,25162,Debit Card,2025-04-10,4877.14
315,15395,Cash,2024-01-29,2124.22
316,46651,Bank Transfer,2025-02-04,2000.7
317,66194,Cash,2023-11-30,454.19
318,95079,UPI,2023-11-29,3162.85
319,20787,Debit Card,2024-02-01,3807.7
320,57977,Cash,2023-10-08,4948.1
321,64790,Debit Card,2024-01-13,568.5
322,35331,Debit Card,2023-10-23,3092.59
323,78245,Debit Card,2025-06-26,781.98
324,93036,Credit Card,2024-12-14,966.03
325,67239,Credit Card,2025-07-06,2551.31
326,7331,Debit Card,2024-07-15,1034.2
327,33424,UPI,2025-05-20,1555.75
328,87362,Bank Transfer,2025-02-10,1839.35
329,85319,Bank Transfer,2024-02-26,4232.54
330,81835,Debit Card,2024-03-15,3658.35
331,8694,Debit Card,2024-05-18,1183.68
332,16836,Bank Transfer,2023-10-16,448.48
333,94876,Debit Card,2024-07-08,584.12
334,71816,Credit Card,2025-08-18,4932.95
335,22543,Credit Card,2023-10-22,3296.29
336,91133,Credit Card,2023-09-15,3016.95
337,67906,Cash,2025-09-02,2003.84
338,40742,Bank Transfer,2025-03-17,571.87
339,21301,Credit Card,2025-06-12,796.28
340,77700,Cash,2024-08-14,4907.34
341,93284,Credit Card,2024-07-26,469.45
342,10278,Bank Transfer,2024-06-17,601.61
343,54994,UPI,2025-06-09,2842.35
344,2888,UPI,2024-08-07,3293.9
345,9615,Debit Card,2024-02-20,3921.76
346,71314,Cash,2025-02-26,1880.24
347,95071,Bank Transfer,2024-05-10,4111.36
348,69478,Credit Card,2024-08-15,492.14
349,86363,UPI,2024-07-03,2506.74
350,37100,Credit Card,2024-02-20,2438.72
351,21450,Cash,2024-10-09,4376.54
352,3645,Debit Card,2024-10-26,1101.49
353,33176,UPI,2024-09-23,741.78
354,78100,Credit Card,2025-02-26,2020.39
355,89829,Bank Transfer,2025-02-06,1968.12
356,42353,Cash,2024-05-15,4757.85
357,61291,Cash,2023-10-10,2904.95
358,64666,Cash,2023-09-19,3489.63
359,40150,Credit Card,2024-05-22,3334.85
360,9313,UPI,2023-12-23,2136.93
361,55069,Credit Card,2024-12-28,1389.66
362,95596,UPI,2024-03-28,65.67
363,59972,Debit Card,2024-12-31,1259.2
364,5961,Cash,2023-10-07,183.53
365,2525,UPI,2025-08-27,412.68
366,11852,Credit Card,2024-05-06,2345.44
367,75540,Bank Transfer,2024-04-03,490.61
368,68148,Cash,2024-06-09,852.17
369,68758,Debit Card,2024-06-05,4825.73
370,3801,Cash,2024-10-22,2883.39
371,43772,Debit Card,2025-01-13,1060.01
372,59792,Debit Card,2024-12-16,1652.22
373,38400,UPI,2025-01-15,2882.96
374,98415,Bank Transfer,2024-11-05,4975.64
375,23775,Debit Card,2025-04-15,2376.51
376,76246,Credit Card,2023-11-29,1174.18
377,35850,Credit Card,2025-05-20,1375.1
378,15573,Cash,2024-05-19,1485.91
379,58794,UPI,2024-07-01,3451.17
380,86176,UPI,2023-10-23,3064.31
381,40521,Cash,2024-10-20,4427.98
382,111,UPI,2025-08-06,630.33
383,56260,Credit Card,2024-08-16,3755.31
384,90733,Credit Card,2024-10-05,230.87
385,88978,Debit Card,2024-10-26,816.63
386,56442,UPI,2025-03-01,2428.44
387,20556,UPI,2023-12-11,73.8
388,25508,Cash,2025-08-25,2031.73
389,19201,Bank Transfer,2024-12-26,1562.6
390,82419,Cash,2024-02-15,3555.97
391,38049,Cash,2024-08-24,569.48
392,72315,Cash,2023-10-24,4592.95
393,1103,Debit Card,2024-05-18,1650.13
394,77020,UPI,2024-11-02,4181.25
395,13508,Credit Card,2024-07-17,2575.43
396,28277,Debit Card,2025-03-12,3765.58
397,42022,UPI,2024-12-28,3801.76
398,12704,Debit Card,2025-08-27,3592.34
399,19917,Bank Transfer,2025-06-29,752.08
400,62689,Debit Card,2025-07-29,655.17
401,32310,Bank Transfer,2025-06-04,815.57
402,91694,Cash,2025-07-30,4499.94
403,33099,Bank Transfer,2024-07-06,1672.5
404,26239,Bank Transfer,2025-05-13,1999.39
405,48931,Cash,2024-05-30,3033.93
406,70584,Credit Card,2025-08-13,4804.88
407,84488,UPI,2024-05-28,277.87
408,61906,Debit Card,2024-06-05,3835.73
409,25950,UPI,2025-09-08,2340.57
410,72466,Debit Card,2024-08-08,436.07
411,2084,Bank Transfer,2025-08-07,3899.85
412,36801,Cash,2025-02-20,1485.59
413,61362,Credit Card,2024-03-29,3236.29
414,63127,Credit Card,2025-05-31,3039.22
415,5782,Credit Card,2023-11-09,3200.44
416,69940,Credit Card,2024-11-21,2201.88
417,61400,Bank Transfer,2024-03-30,997.0
418,85917,UPI,2025-06-18,1500.06
419,43787,Debit Card,2025-08-10,731.88
420,60385,UPI,2024-08-02,4800.27
421,74212,UPI,2025-09-03,178.69
422,83278,Cash,2024-08-16,4500.26
423,8041,UPI,2024-03-14,1953.43
424,41510,UPI,2023-11-03,2455.57
425,43722,UPI,2024-11-05,3006.77
426,4742,Debit Card,2024-06-16,4521.44
427,27119,Bank Transfer,2025-01-17,1548.87
428,9532,Credit Card,2025-05-21,3856.57
429,69912,Bank Transfer,2025-03-16,220.93
430,40626,UPI,2025-05-25,1327.2
431,36938,Cash,2025-09-07,2934.96
432,36296,Credit Card,2024-01-02,905.64
433,23393,UPI,2025-06-24,2468.47
434,7308,Credit Card,2024-08-08,2405.58
435,11566,Cash,2025-01-25,488.44
436,47360,Cash,2025-06-04,1211.51
437,30619,Bank Transfer,2025-05-14,1707.57
438,47392,Cash,2025-01-27,2669.62
439,83455,Debit Card,2025-08-01,1705.33
440,23046,Debit Card,2024-03-28,4739.95
441,73401,Credit Card,2024-12-15,1847.78
442,8879,Credit Card,2024-05-23,989.68
443,37896,UPI,2024-05-05,2601.7
444,72095,Credit Card,2024-02-01,2235.0
445,88000,UPI,2024-12-26,4683.77
446,2165,Cash,2024-07-30,1593.78
447,5102,Bank Transfer,2023-12-06,462.05
448,33234,UPI,2024-11-12,4424.74
449,95351,Credit Card,2024-10-11,4961.04
450,87452,Cash,2025-09-03,688.1
451,42959,Debit Card,2024-01-01,3745.92
452,55845,Bank Transfer,2024-11-03,2447.7
453,32218,Credit Card,2024-11-30,1023.31
454,32520,Credit Card,2024-06-14,1424.83
455,52894,Credit Card,2023-12-04,4797.03
456,11902,Credit Card,2025-05-08,2722.11
457,19239,Credit Card,2024-08-01,4697.41
458,24625,UPI,2024-01-06,1404.38
459,71934,Debit Card,2025-03-17,3756.43
460,14946,Credit Card,2025-06-17,2967.32
461,96209,Cash,2024-03-27,4155.36
462,65361,Debit Card,2024-12-12,3395.15
463,46174,Debit Card,2024-05-10,4769.18
464,38997,UPI,2024-10-23,4168.04
465,98129,Bank Transfer,2024-07-18,521.31
466,90248,Debit Card,2024-01-01,3566.45
467,21512,Credit Card,2024-06-22,4188.38
468,18955,Cash,2025-01-02,4428.0
469,41935,Credit Card,2024-01-04,3359.86
470,34386,Cash,2024-08-26,1055.23
471,15470,Credit Card,2024-02-25,562.46
472,94296,Credit Card,2024-07-02,3470.81
473,68074,Cash,2024-12-24,1616.79
474,37025,Credit Card,2025-08-17,2187.17
475,66795,Cash,2024-08-16,1314.85
476,25074,Cash,2025-08-28,357.61
477,10428,Credit Card,2025-08-29,2492.76
478,75785,Bank Transfer,2025-03-12,1305.49
479,96615,Credit Card,2024-10-05,1541.39
480,43487,Credit Card,2024-11-15,3763.59
481,22332,Credit Card,2024-06-08,3747.28
482,78388,UPI,2025-01-07,4581.82
483,83258,Bank Transfer,2023-12-14,2634.03
484,73232,Bank Transfer,2024-02-27,4643.58
485,1540,UPI,2025-04-09,1845.5
486,84565,Debit Card,2024-09-20,3778.58
487,31412,Credit Card,2025-01-30,2397.56
488,43429,Cash,2024-11-20,2879.35
489,69212,Debit Card,2025-04-10,4857.89
490,7741,Credit Card,2025-03-15,2252.51
491,1819,Bank Transfer,2025-09-09,4371.86
492,35388,Credit Card,2025-02-08,1016.5
493,37523,UPI,2025-03-10,3735.48
494,87845,Debit Card,2024-02-27,2906.3
495,91778,Debit Card,2025-03-28,3401.3
496,51905,Debit Card,2024-01-05,2771.08
497,71807,Debit Card,2024-08-23,1855.43
498,47246,Cash,2023-11-01,566.87
499,49046,Cash,2025-06-04,4106.26
500,26837,Cash,2024-01-14,219.77
501,22143,Debit Card,2025-04-20,3141.04
502,48939,Bank Transfer,2025-01-23,3755.39
503,5545,Credit Card,2025-05-21,1626.23
504,67951,UPI,2024-02-11,1413.11
505,99738,Bank Transfer,2025-06-29,2649.39
506,1111,Cash,2025-01-26,69.77
507,79223,Credit Card,2024-05-09,1732.63
508,69957,Debit Card,2025-02-20,2690.42
509,31107,Credit Card,2025-08-20,2288.23
510,48279,Bank Transfer,2025-05-11,4173.69
511,18787,Bank Transfer,2023-10-26,4888.34
512,65384,Debit Card,2024-09-10,1929.0
513,22200,Cash,2024-09-28,66.33
514,13382,UPI,2024-10-20,3909.52
515,62623,UPI,2024-02-26,388.62
516,18528,Cash,2025-04-26,4419.74
517,44131,Debit Card,2025-07-30,1285.95
518,77884,UPI,2024-04-09,2916.12
519,83644,Bank Transfer,2024-02-23,2459.95
520,78257,Cash,2024-06-26,3138.19
521,96463,Debit Card,2025-07-30,871.19
522,46119,UPI,2025-04-28,2762.9
523,48116,Cash,2023-09-14,3330.03
524,73077,Cash,2023-10-20,1195.33
525,49281,Credit Card,2025-01-15,2910.84
526,32160,UPI,2025-03-16,4282.37
527,54960,Credit Card,2023-09-19,4270.29
528,47849,Bank Transfer,2024-05-18,182.97
529,90713,Bank Transfer,2024-05-25,2379.97
530,27088,Bank Transfer,2025-08-30,4640.08
531,81069,Debit Card,2025-08-25,4036.53
532,34078,Bank Transfer,2025-04-15,4668.8
533,73294,UPI,2025-01-24,2948.62
534,50314,UPI,2024-09-11,748.84
535,55588,Debit Card,2024-02-12,4057.24
536,68031,Credit Card,2025-06-28,2583.91
537,98583,Credit Card,2024-12-08,3070.07
538,82478,Cash,2024-11-28,1367.77
539,91747,UPI,2024-09-07,4903.51
540,48238,Cash,2024-06-19,624.71
541,91779,Cash,2025-04-20,3052.94
542,11374,Bank Transfer,2024-01-21,3609.46
543,7717,Credit Card,2024-04-09,1050.07
544,94345,UPI,2024-04-02,1877.73
545,56194,Bank Transfer,2024-05-14,3812.71
546,91199,Credit Card,2025-01-02,3813.94
547,17469,UPI,2023-11-16,3352.33
548,52877,Debit Card,2024-06-29,1916.0
549,79794,Bank Transfer,2024-05-17,2055.35
550,88526,UPI,2025-06-23,2014.79
551,45646,Bank Transfer,2025-08-14,3740.04
552,67863,Credit Card,2025-08-16,4012.32
553,88961,Bank Transfer,2023-12-09,4076.54
554,71268,Bank Transfer,2024-01-10,3134.58
555,64543,Debit Card,2023-12-10,2054.23
556,53983,Debit Card,2025-07-16,1335.55
557,55975,Credit Card,2025-01-02,1354.27
558,86808,Bank Transfer,2023-09-27,1431.97
559,59390,Bank Transfer,2024-03-16,4521.02
560,591,Credit Card,2024-02-11,126.59
561,77769,Debit Card,2025-07-26,3399.83
562,91291,Cash,2023-11-08,1738.85
563,51583,Credit Card,2024-12-05,3576.05
564,22538,Bank Transfer,2025-08-07,1247.52
565,92826,Debit Card,2025-05-02,1363.89
566,93081,Credit Card,2025-02-27,1066.71
567,54446,Debit Card,2025-06-04,3317.42
568,1583,UPI,2024-11-28,3608.08
569,83778,Cash,2024-06-20,2225.04
570,23295,Debit Card,2024-10-21,150.97
571,84942,Credit Card,2024-05-18,4140.44
572,62329,UPI,2024-08-27,3295.07
573,31172,Credit Card,2025-09-12,3090.46
574,59736,Credit Card,2024-02-20,1763.47
575,28139,Bank Transfer,2025-07-29,2882.43
576,54869,Cash,2025-07-18,2614.64
577,99779,Debit Card,2024-09-10,3018.34
578,82548,Cash,2025-07-02,1512.5
579,37361,Bank Transfer,2025-02-01,3136.69
580,63474,Bank Transfer,2025-07-18,1900.5
581,36480,Cash,2024-10-15,4666.28
582,46343,Bank Transfer,2025-03-13,1318.58
583,23159,Debit Card,2024-04-27,1963.25
584,42614,Bank Transfer,2023-12-02,369.87
585,94348,UPI,2023-10-28,2983.64
586,97694,Debit Card,2023-12-28,1946.72
587,24155,Bank Transfer,2024-12-27,2215.97
588,38533,Bank Transfer,2025-09-09,3434.2
589,90534,Credit Card,2024-10-24,2618.91
590,51978,Credit Card,2024-11-12,3361.3
591,52096,Cash,2025-01-13,185.1
592,3819,UPI,2025-02-09,1328.58
593,29606,Credit Card,2024-04-13,1795.91
594,2785,Cash,2024-05-07,4428.37
595,7044,Cash,2024-03-20,4457.1
596,67927,Cash,2024-10-07,134.57
597,64184,Credit Card,2024-12-03,1584.7
598,9720,Debit Card,2024-11-23,440.79
599,1356,Debit Card,2025-07-03,1258.72
600,23464,Bank Transfer,2024-10-28,2260.24
601,67207,Cash,2025-07-18,3407.42
602,67076,Cash,2023-10-18,3169.17
603,65498,Credit Card,2025-02-22,4937.0
604,47662,Bank Transfer,2023-09-24,3718.11
605,20703,Credit Card,2025-08-05,3542.53
606,93690,Debit Card,2024-09-04,1668.61
607,43264,Cash,2024-02-26,3370.58
608,73788,Debit Card,2025-01-30,4228.89
609,20142,Cash,2024-09-30,2446.07
610,11038,UPI,2024-11-08,1142.8
611,64803,Debit Card,2025-03-18,4274.85
612,30753,Bank Transfer,2025-04-03,2025.18
613,94860,Credit Card,2024-12-08,1048.97
614,4939,UPI,2024-10-26,1691.12
615,75751,Bank Transfer,2025-01-20,1314.93
616,35574,Bank Transfer,2024-08-30,3075.13
617,29523,Debit Card,2025-09-07,1084.57
618,34264,Bank Transfer,2025-09-05,4724.31
619,55055,UPI,2024-02-27,637.91
620,52142,Credit Card,2025-07-07,3856.15
621,14161,Cash,2024-08-25,462.49
622,2764,Cash,2024-12-26,2689.59
